1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Prénom,Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,Sexe,masculin,féminin,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,Lectures personnelles: combien,Plus de 10,Entre 5 et 9,Entre 2 et 4,Moins de 2,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,Quel genre?,Romans d'amour,Policiers/espionnage,Science-fiction,Littérature fantastique,Pièces de théâtre,Contes,Nouvelles,Bandes dessinées,Journaux,Autres,Pas de réponse,,,,,,,,,,,,,,,,,,,,,
,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3,Souvent des BD?,Plus de 15,Entre 10 et 14,Entre 5 et 9,Moins de 5,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,En as-tu beaucoup chez toi?,Moins de 10,Entre 10 et 20,Plus de 20,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,Qu'aimes-tu dans la BD?,Humour,Romance,Vie quotidienne,Histoires des adolescents,Evènements historiques,Fantastique,Horreur,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,Lire BD pour,Loisir/Détente,Amusement,Apprentissage,Autre,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,Trois BD,Tintin,Seuls,Les profs,Nelson,Les sisters,Simpsons,Lou,Les nombrils,Scorpion,Les Blondes,VDM,Joséphine,Marie-Lune,"Julie, Claire et Cécile",Boule et Bill,Titeuf,Astérix,Les Légendaires,Garfield,Les Blondes,Picsou,Gaston,Adèle Blanc-Sec,Tuniques bleues,Pas de réponse,Autre,,,,,,
,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,Meilleurs documents pour enseignement de l'histoire,Documents écrits,Sources historiques,Articles de presse,Manuel utilisé en classe,Textes littéraires,Textes qui racontent la vie d'une personne,Graphiques/statistiques,Audiovisuel,Films,Documentaires,Photographies,Bandes dessinées,Témoignages vivants,Objets,Pas de réponse,,,,,,,,,,,,,,,,,
,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,BD en cours?,Oui,Peut-être,Non,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,Rôle de la BD comme source,Illustration du sujet,Approfondissement d'un sujet,Exemple,Source,Elément central d'un sujet,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4,"Si non/oui, pourquoi ce n'est pas un support valable?",Selon utilisation,Permet de comprendre des évènements historiques plus difficiles,A la portée de tous,Rendre visuel un fait,Ludique,Pas assez historique,Trop superficiel/ moins sérieux,Rendre l'histoire plus intéressante,Changement,Pas de réponse,pas que ça,"(pas précis, réponse vague)",,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Que sais-tu de la Shoah?,Fait beaucoup parler d'elle,Hitler assassine les juifs,Camps de concentration,Meurent,Conditions horribles,Je ne sais pas,Connaît pas le mot,Durant 2e GM,Ghettos,Idéologie d'Hitler,"Rendre Allemagne ""pure""",Lien avec Israël,Holocauste = synonyme de dictature,Pas de réponse,Juifs,,,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Prénom,Sara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,Sexe,masculin,féminin,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,Age,14,15,16,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Aimez-vous l'histoire,oui,non,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pourquoi,Enseignant,Important,Interessant,Permet de comprendre les erreurs passées et pas les refaire,Connaître notre passé,Lien entre passé/présent,Trop d'analyses de textes/images/de détails,Trop de choses à retenir,Mauvaises notes,Comprendre le monde,Pas de réponse,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,Lectures personnelles: combien,Plus de 10,Entre 5 et 9,Entre 2 et 4,Moins de 2,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,Quel genre?,Romans d'amour,Policiers/espionnage,Science-fiction,Littérature fantastique,Pièces de théâtre,Contes,Nouvelles,Bandes dessinées,Journaux,Autres,Pas de réponse,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3,Souvent des BD?,Plus de 15,Entre 10 et 14,Entre 5 et 9,Moins de 5,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,En as-tu beaucoup chez toi?,Moins de 10,Entre 10 et 20,Plus de 20,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,Qu'aimes-tu dans la BD?,Humour,Romance,Vie quotidienne,Histoires des adolescents,Evènements historiques,Fantastique,Horreur,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,Lire BD pour,Loisir/Détente,Amusement,Apprentissage,Autre,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,Trois BD,Tintin,Seuls,Les profs,Nelson,Les sisters,Simpsons,Lou,Les nombrils,Scorpion,Les Blondes,VDM,Joséphine,Marie-Lune,"Julie, Claire et Cécile",Boule et Bill,Titeuf,Astérix,Les Légendaires,Garfield,Les Blondes,Picsou,Gaston,Adèle Blanc-Sec,Tuniques bleues,Thorgal,Pas de réponse,Autre,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,Meilleurs documents pour enseignement de l'histoire,Documents écrits,Sources historiques,Articles de presse,Manuel utilisé en classe,Textes littéraires,Textes qui racontent la vie d'une personne,Graphiques/statistiques,Audiovisuel,Films,Documentaires,Photographies,Bandes dessinées,Témoignages vivants,Objets,Pas de réponse,,,,,,,,,,,,,,,,,
,,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,BD en cours?,Oui,Peut-être,Non,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,Rôle de la BD comme source,Illustration du sujet,Approfondissement d'un sujet,Exemple,Source,Elément central d'un sujet,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4,"Si non/oui, pourquoi ce n'est pas un support valable?",Selon utilisation,Permet de comprendre des évènements historiques plus difficiles,A la portée de tous,Rendre visuel un fait,Ludique,Pas assez historique,Trop superficiel/ moins sérieux,Rendre l'histoire plus intéressante,Changement,Pas de réponse,pas que ça,"(pas précis, réponse vague)",,,,,,,,,,,,,,,,,,,,
,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Que sais-tu de la Shoah?,Fait beaucoup parler d'elle,Hitler assassine les juifs,Camps de concentration,Meurent,Conditions horribles,Je ne sais pas,Connaît pas le mot,Durant 2e GM,Ghettos,Idéologie d'Hitler,"Rendre Allemagne ""pure""",Lien avec Israël,Holocauste = synonyme de dictature,Pas de réponse,Juifs,Génocide,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Prénom,Suvagathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,Sexe,masculin,féminin,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,Age,14,15,16,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Aimez-vous l'histoire,oui,non,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pourquoi,Enseignant,Important,Interessant,Permet de comprendre les erreurs passées et pas les refaire,Connaître notre passé,Lien entre passé/présent,Trop d'analyses de textes/images/de détails,Trop de choses à retenir,Mauvaises notes,Comprendre le monde,Pas de réponse,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,Lectures personnelles: combien,Plus de 10,Entre 5 et 9,Entre 2 et 4,Moins de 2,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,Quel genre?,Romans d'amour,Policiers/espionnage,Science-fiction,Littérature fantastique,Pièces de théâtre,Contes,Nouvelles,Bandes dessinées,Journaux,Autres,Pas de réponse,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3,Souvent des BD?,Plus de 15,Entre 10 et 14,Entre 5 et 9,Moins de 5,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,En as-tu beaucoup chez toi?,Moins de 10,Entre 10 et 20,Plus de 20,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,Qu'aimes-tu dans la BD?,Humour,Romance,Vie quotidienne,Histoires des adolescents,Evènements historiques,Fantastique,Horreur,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,Lire BD pour,Loisir/Détente,Amusement,Apprentissage,Autre,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,Trois BD,Tintin,Seuls,Les profs,Nelson,Les sisters,Simpsons,Lou,Les nombrils,Scorpion,Les Blondes,VDM,Joséphine,Marie-Lune,"Julie, Claire et Cécile",Boule et Bill,Titeuf,Astérix,Les Légendaires,Garfield,Les Blondes,Picsou,Gaston,Adèle Blanc-Sec,Tuniques bleues,Thorgal,Pas de réponse,Autre,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,Meilleurs documents pour enseignement de l'histoire,Documents écrits,Sources historiques,Articles de presse,Manuel utilisé en classe,Textes littéraires,Textes qui racontent la vie d'une personne,Graphiques/statistiques,Audiovisuel,Films,Documentaires,Photographies,Bandes dessinées,Témoignages vivants,Objets,Pas de réponse,,,,,,,,,,,,,,,,,
,,,1,,1,1,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,BD en cours?,Oui,Peut-être,Non,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,Rôle de la BD comme source,Illustration du sujet,Approfondissement d'un sujet,Exemple,Source,Elément central d'un sujet,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4,"Si non/oui, pourquoi ce n'est pas un support valable?",Selon utilisation,Permet de comprendre des évènements historiques plus difficiles,A la portée de tous,Rendre visuel un fait,Ludique,Pas assez historique,Trop superficiel/ moins sérieux,Rendre l'histoire plus intéressante,Changement,Pas de réponse,pas que ça,"(pas précis, réponse vague)",,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Que sais-tu de la Shoah?,Fait beaucoup parler d'elle,Hitler assassine les juifs,Camps de concentration,Meurent,Conditions horribles,Je ne sais pas,Connaît pas le mot,Durant 2e GM,Ghettos,Idéologie d'Hitler,"Rendre Allemagne ""pure""",Lien avec Israël,Holocauste = synonyme de dictature,Pas de réponse,Juifs,Génocide,,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Prénom,Maude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,Sexe,masculin,féminin,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,Age,14,15,16,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Aimez-vous l'histoire,oui,non,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pourquoi,Enseignant,Important,Interessant,Permet de comprendre les erreurs passées et pas les refaire,Connaître notre passé,Lien entre passé/présent,Trop d'analyses de textes/images/de détails,Trop de choses à retenir,Mauvaises notes,Comprendre le monde,Pas de réponse,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,Lectures personnelles: combien,Plus de 10,Entre 5 et 9,Entre 2 et 4,Moins de 2,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,Quel genre?,Romans d'amour,Policiers/espionnage,Science-fiction,Littérature fantastique,Pièces de théâtre,Contes,Nouvelles,Bandes dessinées,Journaux,Autres,Pas de réponse,,,,,,,,,,,,,,,,,,,,,
,,,1,1,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3,Souvent des BD?,Plus de 15,Entre 10 et 14,Entre 5 et 9,Moins de 5,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,En as-tu beaucoup chez toi?,Moins de 10,Entre 10 et 20,Plus de 20,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,Qu'aimes-tu dans la BD?,Humour,Romance,Vie quotidienne,Histoires des adolescents,Evènements historiques,Fantastique,Horreur,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,Lire BD pour,Loisir/Détente,Amusement,Apprentissage,Autre,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,Trois BD,Tintin,Seuls,Les profs,Nelson,Les sisters,Simpsons,Lou,Les nombrils,Scorpion,Les Blondes,VDM,Joséphine,Marie-Lune,"Julie, Claire et Cécile",Boule et Bill,Titeuf,Astérix,Les Légendaires,Garfield,Les Blondes,Picsou,Gaston,Adèle Blanc-Sec,Tuniques bleues,Thorgal,Oiseau du Temps,Berger des Alpages,Peter Pan,Pas de réponse,Autre,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,Meilleurs documents pour enseignement de l'histoire,Documents écrits,Sources historiques,Articles de presse,Manuel utilisé en classe,Textes littéraires,Textes qui racontent la vie d'une personne,Graphiques/statistiques,Audiovisuel,Films,Documentaires,Photographies,Bandes dessinées,Témoignages vivants,Objets,Pas de réponse,,,,,,,,,,,,,,,,,
,,1,1,1,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,BD en cours?,Oui,Peut-être,Non,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,Rôle de la BD comme source,Illustration du sujet,Approfondissement d'un sujet,Exemple,Source,Elément central d'un sujet,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4,"Si non/oui, pourquoi ce n'est pas un support valable?",Selon utilisation,Permet de comprendre des évènements historiques plus difficiles,A la portée de tous,Rendre visuel un fait,Ludique,Pas assez historique,Trop superficiel/ moins sérieux,Rendre l'histoire plus intéressante,Changement,Pas de réponse,pas que ça,"(pas précis, réponse vague)",,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Que sais-tu de la Shoah?,Fait beaucoup parler d'elle,Hitler assassine les juifs,Camps de concentration,Meurent,Conditions horribles,Je ne sais pas,Connaît pas le mot,Durant 2e GM,Ghettos,Idéologie d'Hitler,"Rendre Allemagne ""pure""",Lien avec Israël,Holocauste = synonyme de dictature,Pas de réponse,Juifs,Génocide,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Prénom,Lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,Sexe,masculin,féminin,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,Age,14,15,16,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Aimez-vous l'histoire,oui,non,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pourquoi,Enseignant,Important,Interessant,Permet de comprendre les erreurs passées et pas les refaire,Connaître notre passé,Lien entre passé/présent,Trop d'analyses de textes/images/de détails,Trop de choses à retenir,Mauvaises notes,Comprendre le monde,ennui,Pas de réponse,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,Lectures personnelles: combien,Plus de 10,Entre 5 et 9,Entre 2 et 4,Moins de 2,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,Quel genre?,Romans d'amour,Policiers/espionnage,Science-fiction,Littérature fantastique,Pièces de théâtre,Contes,Nouvelles,Bandes dessinées,Journaux,Autres,Pas de réponse,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3,Souvent des BD?,Plus de 15,Entre 10 et 14,Entre 5 et 9,Moins de 5,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,En as-tu beaucoup chez toi?,Moins de 10,Entre 10 et 20,Plus de 20,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,Qu'aimes-tu dans la BD?,Humour,Romance,Vie quotidienne,Histoires des adolescents,Evènements historiques,Fantastique,Horreur,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,Lire BD pour,Loisir/Détente,Amusement,Apprentissage,Autre,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,Trois BD,Tintin,Seuls,Les profs,Nelson,Les sisters,Simpsons,Lou,Les nombrils,Scorpion,Les Blondes,VDM,Joséphine,Marie-Lune,"Julie, Claire et Cécile",Boule et Bill,Titeuf,Astérix,Les Légendaires,Garfield,Les Blondes,Picsou,Gaston,Adèle Blanc-Sec,Tuniques bleues,Thorgal,Oiseau du Temps,Berger des Alpages,Peter Pan,Pas de réponse,Autre,,
,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,Meilleurs documents pour enseignement de l'histoire,Documents écrits,Sources historiques,Articles de presse,Manuel utilisé en classe,Textes littéraires,Textes qui racontent la vie d'une personne,Graphiques/statistiques,Audiovisuel,Films,Documentaires,Photographies,Bandes dessinées,Témoignages vivants,Objets,Pas de réponse,,,,,,,,,,,,,,,,,
,,1,,,1,,1,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,BD en cours?,Oui,Peut-être,Non,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,Rôle de la BD comme source,Illustration du sujet,Approfondissement d'un sujet,Exemple,Source,Elément central d'un sujet,Pas de réponse,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4,"Si non/oui, pourquoi ce n'est pas un support valable?",Selon utilisation,Permet de comprendre des évènements historiques plus difficiles,A la portée de tous,Rendre visuel un fait,Ludique,Pas assez historique,Trop superficiel/ moins sérieux,Rendre l'histoire plus intéressante,Changement,Pas de réponse,pas que ça,"(pas précis, réponse vague)",,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
